timestamp_ns,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,activity
2381599839509643,-2.115255,5.101797,8.17119,-0.20012884,0.04161397,-0.025502874,-14.250001,-37.5,-2.25,walking
2381599859509643,-1.7093726,5.1963134,7.2326055,-0.3558949,0.07704311,-0.051769305,-13.856251,-37.612503,-2.7562501,walking
2381599879509643,-1.3010973,5.502894,7.7880397,-0.4685962,0.17264071,-0.14400724,-13.556251,-37.612503,-3.0937502,walking
2381599899509643,-1.2616158,5.3533425,8.4679,-0.32932302,0.25144,-0.28602922,-13.44375,-37.518753,-3.525,walking
2381599919509643,-1.8804595,5.1269217,8.12782,-0.21845426,0.09475768,-0.36269057,-13.481251,-37.350002,-3.7875001,walking
2381599939509643,-2.3162522,4.936692,8.17119,-0.21020782,-0.024968382,-0.30557635,-13.35,-37.48125,-4.33125,walking
2381599959509643,-2.2205393,4.6600223,8.860622,-0.18730104,0.082540736,-0.17821468,-13.05,-37.40625,-4.70625,walking
2381599979509643,-1.9354944,4.633701,9.065208,-0.0794865,0.41911757,-0.06826218,-12.8625,-37.631252,-5.1937504,walking
2381599999509643,-1.9704895,4.912764,8.428419,0.04756973,0.5495335,-0.12476555,-12.95625,-37.518753,-5.53125,walking
2381600019509643,-2.5271199,5.089833,8.108678,0.07261447,0.35100812,-0.18523943,-12.675,-37.5,-5.49375,walking
2381600039509643,-2.8776684,4.9666023,8.545667,0.021303298,0.45088163,0.16599774,-12.637501,-37.74375,-5.7375,walking
2381600059509643,-2.5941188,4.115356,8.032107,-0.1570641,0.5501443,0.6824691,-12.4125,-37.93125,-5.90625,walking
2381600079509643,-1.5131612,4.4171505,7.589435,-0.28931254,0.27037627,1.0172133,-12.243751,-38.0625,-6.2625003,walking
2381600099509643,-1.3106686,5.330312,8.427222,-0.11216683,0.045279052,1.0718843,-12.562501,-37.85625,-6.43125,walking
2381600119509643,-1.5442679,5.9805613,10.264611,0.23700874,0.2563268,0.8660287,-13.06875,-37.818752,-6.7312503,walking
2381600139509643,-1.244866,5.113761,10.087543,0.58763504,0.49089214,0.46286952,-13.44375,-37.631252,-6.7875004,walking
2381600159509643,-1.5406786,4.3788652,8.106285,0.85060483,0.64910156,0.06154286,-13.687501,-37.74375,-6.7500005,walking
2381600179509643,-2.178665,4.685147,5.6117673,0.5879405,0.3717769,-0.5444176,-14.19375,-37.7625,-6.6562505,walking
2381600199509643,-3.993322,5.956633,5.8354964,0.13591352,-0.74798244,-0.71667653,-14.231251,-37.65,-6.3562503,walking
2381600219509643,-3.6053855,4.9725847,7.2062845,0.06436803,-1.6996825,-0.57709795,-14.55,-37.575,-6.1312504,walking
2381600239509643,-3.0379875,4.4841495,8.56122,0.01641652,-1.8215466,-0.3397838,-14.887501,-37.74375,-5.83125,walking
2381600259509643,-1.8421743,4.959424,9.329915,-0.15645325,-0.7892147,-0.25793025,-14.718751,-37.8375,-5.4375,walking
2381600279509643,-1.4294125,5.5543394,8.924032,-0.19646375,-0.63253236,-0.3965926,-14.587501,-37.95,-4.8187504,walking
2381600299509643,-1.9091734,5.061119,8.512167,-0.27373594,-0.7308788,-0.505018,-14.868751,-38.193752,-4.5,walking
2381600319509643,-2.1942184,4.6097727,8.835498,-0.39926505,-0.90435934,-0.34741938,-14.64375,-38.193752,-4.2937503,walking
2381600339509643,-1.3716856,4.095017,10.142577,-0.39804333,-0.88725567,-0.057266932,-14.56875,-38.325,-4.51875,walking
2381600359509643,-0.53988063,3.8461633,10.725529,-0.27037627,-0.39796698,-0.031000499,-14.625001,-38.175003,-4.74375,walking
2381600379509643,-0.5877371,3.9550366,9.767801,-0.12743801,-0.04176668,-0.013896775,-14.718751,-38.081253,-4.875,walking
2381600399509643,-0.8967103,4.0363927,9.01137,-0.055358034,-0.20669544,0.048104223,-14.700001,-38.04375,-5.2312503,walking
2381600419509643,-0.5374878,3.7420754,8.945567,-0.022066858,-0.55678725,0.13881505,-15.01875,-38.2125,-5.68125,walking
2381600439509643,-0.18664017,3.3792639,9.242277,-0.088343784,-0.5467083,0.28022617,-15.3,-38.325,-6.1125,walking
2381600459509643,0.1268196,3.260819,9.548858,-0.13782242,-0.2796917,0.44790375,-15.281251,-38.5125,-6.6000004,walking
2381600479509643,0.8919246,3.571886,9.465109,-0.0782648,-0.1596602,0.49371728,-15.543751,-38.53125,-6.9187503,walking
2381600499509643,1.4988043,3.8832521,9.085547,-0.03245126,-0.13095038,0.4109475,-15.95625,-38.79375,-6.9187503,walking
2381600519509643,1.7428722,4.132106,8.738588,0.01305686,-0.21769069,0.20722993,-16.40625,-38.943752,-7.14375,walking
2381600539509643,1.6519449,4.267599,8.489435,0.077501245,-0.4563029,-0.024586603,-16.81875,-39.225002,-7.425,walking
2381600559509643,1.1718849,4.0016966,8.300403,0.031687703,-0.4795151,-0.14553437,-17.25,-39.24375,-7.2375,walking
2381600579509643,1.1216356,3.92393,8.386544,-0.04253024,-0.44316968,-0.13117945,-17.268751,-39.300003,-7.5750003,walking
2381600599509643,1.5945172,3.9693937,8.476275,-0.12804885,-0.3994941,-0.1201842,-17.38125,-39.412502,-7.8375,walking
