timestamp_ns,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,activity
196234212086125,1.7717092,7.5659766,5.4734445,-0.08926269,0.48273626,-0.08620836,1.68,-40.5,20.58,standing
196234234072125,1.6687586,7.5659766,5.5189342,-0.11675162,0.54443365,-0.10209085,1.68,-40.739998,20.279999,standing
196234254072125,1.6496049,7.621043,5.696105,-0.13019066,0.4717407,-0.13568844,1.5,-40.92,20.58,standing
196234274072125,1.4867992,7.5061216,5.9235544,-0.14485142,0.4363105,-0.11247557,1.56,-40.86,20.46,standing
196234294072125,1.541866,7.508516,5.7990556,-0.14546229,0.32635477,-0.07765625,1.62,-40.5,20.88,standing
196234314072125,1.661576,7.6952634,5.741595,-0.11491902,0.20723604,-0.050778173,1.4399999,-40.14,20.76,standing
196234334072125,1.7405846,7.774272,5.870882,-0.062384613,0.13942999,-0.032452215,1.4399999,-39.84,20.64,standing
196234354072125,1.7142484,7.7335706,5.96665,-0.027565295,0.12415836,-0.0031306844,1.4399999,-39.899998,20.52,standing
196234374072125,1.6304513,7.63062,5.9977746,-0.03611741,0.10522154,0.008475755,1.4399999,-39.78,20.34,standing
196234394072125,1.6041151,7.582736,6.014534,-0.0538325,0.111941054,-0.0061850105,1.14,-40.02,20.64,standing
196234414072125,1.5849615,7.5899186,5.89243,-0.053221636,0.11499538,-0.02939789,1.4399999,-40.02,20.64,standing
196234434072125,1.5394717,7.6497736,5.906795,-0.038560867,0.089949906,-0.04466952,1.1999999,-39.78,20.88,standing
196234454072125,1.5777789,7.6378026,5.9618616,-0.027565295,0.10094548,-0.044058654,1.38,-40.32,20.4,standing
196234474072125,1.4293385,7.8700404,6.124667,-0.036728274,0.13637567,-0.03428481,1.3199999,-40.32,20.16,standing
196234494072125,1.5490485,7.51091,5.9379196,-0.05933029,0.14553864,-0.025121834,1.02,-40.26,20.22,standing
196234514072125,1.3623008,7.4654202,6.050447,-0.06604981,0.13576481,-0.02695443,1.4399999,-40.68,20.46,standing
196234534072125,1.4317327,7.558794,6.024111,-0.050778173,0.116217114,-0.036728274,1.0799999,-40.739998,20.64,standing
196234554072125,1.448492,7.6497736,6.01214,-0.034895677,0.17058411,-0.07276932,1.4399999,-40.92,20.699999,standing
196234574072948,1.400608,7.642591,5.9834094,-0.031841353,0.19135354,-0.06849326,0.96,-41.28,20.88,standing
196234594072948,1.4556746,7.628226,5.942708,-0.028176159,0.18219055,-0.047112983,0.53999996,-40.86,20.88,standing
196234614072948,1.412579,7.618649,5.92116,-0.023900103,0.15836681,-0.036728274,0.96,-41.579998,20.82,standing
196234634072948,1.4460979,7.633014,5.882853,-0.020845776,0.13576481,-0.031230485,1.0799999,-41.82,21.06,standing
196234654072948,1.3096284,7.525275,5.942708,-0.020845776,0.13271047,-0.026343564,2.1,-42.66,20.88,standing
196234674072948,1.2210429,7.6138606,5.957073,-0.07276932,0.12843442,-0.035506543,2.3999999,-43.44,20.22,standing
196234694072948,1.1348516,7.7982144,6.2108583,-0.16195565,0.17608191,-0.060552016,1.62,-43.14,19.92,standing
196234714073531,1.067814,7.597101,6.392818,-0.26274842,0.25977045,-0.064828075,1.38,-43.62,19.02,standing
196234734073531,1.0199299,7.376835,6.4694324,-0.3488804,0.25671613,-0.03795,0.59999996,-43.32,17.64,standing
196234754073531,0.9983821,7.218817,6.4359136,-0.4863251,0.20845777,-0.062384613,-0.17999999,-43.379997,16.859999,standing
196234774073531,1.055843,7.1038957,6.2467713,-0.62621325,0.31230485,-0.08926269,0.29999998,-43.379997,15.54,standing
196234794073531,0.9672575,7.2355766,6.1510034,-0.6475935,0.40454552,-0.050167307,0.0,-43.02,14.46,standing
196234814073531,0.7733272,7.178116,6.292261,-0.5975026,0.44425175,-0.025121834,0.17999999,-43.32,14.16,standing
196234834073531,0.46447513,7.273884,6.3736644,-0.56634843,0.50533825,-0.03306308,0.0,-43.68,13.38,standing
196234854073531,0.49081135,6.7711015,6.7232175,-0.6268241,0.54260105,-0.04772385,-0.65999997,-44.16,12.66,standing
196234874073531,0.31124622,6.366482,7.513304,-0.7606036,0.54565537,-0.06421721,-0.84,-44.04,12.0,standing
196234894073531,0.35434186,6.2635307,8.097489,-0.90537864,0.56153786,-0.09353874,-0.96,-44.579998,10.8,standing
196234914073531,0.61770403,6.095937,8.176498,-1.067258,0.5694791,-0.11308643,-0.29999998,-44.7,10.38,standing
196234934073531,0.4357447,5.7248354,7.7886376,-1.2108113,0.57803124,-0.08743009,0.17999999,-44.399998,9.599999,standing
196234954073531,-0.093373865,6.01214,8.114249,-1.238911,0.74479747,-0.012293663,0.53999996,-45.0,8.82,standing
196234974073531,0.21068975,5.8110266,7.958626,-1.1087968,0.869414,0.054901514,1.02,-45.12,7.44,standing
196234994073531,-0.21547815,5.564424,7.228394,-0.85284424,0.9775371,0.05429065,1.14,-45.42,5.46,standing
196235014073531,-0.5530606,5.3680997,5.490204,-0.6665303,0.95554596,0.005421429,1.0799999,-45.78,4.08,standing
196235034073531,-0.60094464,5.4997807,7.1709332,-0.5235879,0.71791935,0.002977968,1.14,-45.78,2.34,standing
196235054073531,-0.45010993,4.759673,6.3976064,-0.36048687,0.5853616,-0.14424056,0.59999996,-45.96,1.4399999,standing
196235074074031,-0.031124622,4.381389,7.937078,-0.4472297,0.4802928,-0.382478,0.0,-45.899998,0.9,standing
196235094074031,0.17717093,4.5537715,10.635344,-1.5993216,-0.5038111,-0.7001279,0.0,-45.539997,0.84,standing
196235114074031,-0.5602432,4.9969983,11.078271,-2.11367,-0.6608035,-0.46922088,-0.17999999,-45.48,1.5,standing
196235134074031,0.50996494,3.4811692,10.393529,-2.5143976,-1.0462594,-0.08865182,-0.17999999,-45.48,2.28,standing
196235154074031,1.1444284,3.9312792,10.328885,-2.223626,-1.093296,0.43241623,-0.12,-45.3,3.0,standing
196235174073564,0.60573304,3.5625722,10.419865,-1.375134,-0.93202764,0.922941,0.06,-45.719997,3.9599998,standing
196235194073564,0.40462008,3.727772,9.98412,-0.58833957,-0.5532912,0.9553169,0.24,-45.899998,4.68,standing
196235214074064,-0.24181437,3.8187518,9.524434,-0.11675162,0.311694,0.6340018,1.26,-46.26,6.2999997,standing
196235234074064,-0.5267244,3.9432502,8.6218195,0.3029128,1.1125383,0.19723311,1.86,-46.379997,7.3199997,standing
196235254074064,-0.8451532,4.5633483,7.96102,0.755564,1.5774068,-0.15706873,1.68,-46.5,8.28,standing
196235274074064,-0.2681506,4.891354,8.198046,1.0713813,1.7356209,-0.4545601,1.62,-46.86,9.36,standing
