timestamp_ns,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,activity
421285471491908,1.6360501,5.4570003,8.20395,-0.4224,0.2783,0.0188375,-15.900001,-34.36875,1.06875,sitting
421285491495488,1.50405,5.5140004,8.254951,-0.4395875,0.8817875,0.0334125,-16.087502,-34.275,0.39375,sitting
421285511506693,1.2049501,5.2650003,7.8640504,-0.5251125,0.93555,0.0578875,-15.6,-34.4625,-0.4875,sitting
421285531527717,0.87000006,5.7250504,8.24505,-0.5836875,1.0173625,0.0859375,-15.39375,-34.275,-0.58125,sitting
421285551554514,1.12605,5.3629503,8.311951,-0.595925,0.9942625,0.098175,-15.69375,-34.55625,-1.5562501,sitting
421285571587546,0.61800003,5.4469504,8.39805,-0.5726875,0.993025,0.1153625,-16.087502,-34.55625,-2.25,sitting
421285591610687,0.27105,5.37795,8.46105,-0.56045,0.999075,0.1593625,-15.7875,-34.068752,-2.25,sitting
421285611623567,-0.08205,5.3299503,7.9080005,-0.62645,0.9062625,0.2349875,-15.7875,-34.275,-2.625,sitting
421285631637429,0.064950004,5.33895,8.02995,-0.7266875,0.7742625,0.2619375,-15.7875,-34.275,-3.6000001,sitting
421285651641350,0.216,5.29395,8.920051,-0.7082625,0.755975,0.247225,-16.181252,-34.275,-4.59375,sitting
421285671637960,0.28605002,5.289,9.232051,-0.6094,0.7352125,0.1874125,-16.48125,-33.787502,-5.175,sitting
421285691640542,-0.20700002,5.06895,9.945001,-0.5104,0.7852625,0.1727,-15.900001,-33.693752,-5.6625004,sitting
421285711637416,-0.25500003,4.80795,9.271951,-0.4090625,0.8267875,0.2008875,-16.3875,-33.393753,-5.9437504,sitting
421285731629505,-0.56295,4.566,8.179951,-0.3906375,0.5654,0.2239875,-16.48125,-33.581253,-7.0312505,sitting
421285751628813,-0.50805,4.3510504,9.804001,-0.22935,0.6741625,0.2399375,-16.7625,-33.300003,-7.70625,sitting
421285771624528,-0.35700002,4.4490004,10.699051,0.0515625,1.1664125,0.1788875,-16.875,-32.90625,-7.8,sitting
421285791628565,-0.58995,4.52505,9.05895,0.1150875,1.1933625,0.1348875,-16.181252,-33.09375,-8.00625,sitting
421285811627065,-0.73605,4.51305,8.21205,0.0050875,0.977075,0.15565,-16.7625,-32.90625,-8.493751,sitting
421285831621494,-0.642,4.533,8.58495,-0.0034375,0.9502625,0.1348875,-16.66875,-33.487503,-8.493751,sitting
421285851624732,-0.77400005,4.51095,8.13,-0.016775,0.810975,0.087175,-16.3875,-33.393753,-9.168751,sitting
421285871623079,-1.26195,4.46505,7.7209506,-0.1109625,0.6337375,0.0823625,-16.3875,-33.300003,-9.46875,sitting
421285891617785,-1.55505,4.2379503,7.6819506,-0.280775,0.4835875,0.103125,-16.275002,-33.393753,-9.46875,sitting
421285911620714,-1.626,3.936,8.06805,-0.385825,0.303875,0.158125,-16.087502,-33.300003,-9.95625,sitting
421285931619363,-1.5000001,3.5629501,8.566051,-0.3565375,0.0999625,0.21065,-16.181252,-32.7,-10.44375,sitting
421285951613698,-1.49205,3.65895,9.71805,-0.2770625,0.2525875,0.25575,-16.275002,-32.8125,-10.05,sitting
421285971616618,-1.84905,3.1990502,9.44505,-0.1720125,0.3796375,0.37193748,-16.66875,-32.7,-10.5375,sitting
421285991615011,-1.6890001,3.9460502,8.785951,-0.20625,0.4175875,0.3144625,-16.087502,-32.8125,-11.512501,sitting
421286011610094,-1.9380001,3.73005,8.191951,-0.220825,0.253825,0.2924625,-16.3875,-32.2125,-11.118751,sitting
421286031613546,-2.11695,3.6799502,8.283,-0.2195875,0.076725,0.341275,-16.48125,-32.5125,-11.418751,sitting
421286051612158,-2.0770502,3.79695,8.097,-0.28435,-0.09075,0.3425125,-16.48125,-32.11875,-11.512501,sitting
421286071618419,-2.02905,3.7759502,8.700001,-0.32587498,-0.149325,0.3205125,-16.96875,-32.11875,-11.325001,sitting
421286091619507,-2.1649501,3.5170503,9.165,-0.3125375,-0.116325,0.32793748,-17.15625,-31.35,-11.8125,sitting
421286111616700,-2.26095,3.3280501,9.283951,-0.36135,0.0242,0.363275,-17.362501,-31.44375,-11.8125,sitting
421286131621278,-2.1390002,3.41895,8.973001,-0.4310625,0.0644875,0.4024625,-17.456251,-31.237501,-12.0,sitting
421286151620878,-1.914,3.5080502,9.18105,-0.474925,0.0620125,0.3939375,-17.362501,-30.468752,-12.20625,sitting
421286171616326,-1.83,3.5130002,9.49995,-0.3993,0.004675,0.368225,-18.0375,-30.656252,-12.39375,sitting
421286191619934,-1.8199501,3.4290001,9.567,-0.2795375,-0.116325,0.35227498,-17.643751,-30.750002,-13.275001,sitting
421286211618787,-1.69095,3.4459503,9.624001,-0.1475375,-0.237325,0.3377,-18.525002,-30.35625,-12.975,sitting
421286231613757,-1.52295,3.4740002,9.528001,-0.08525,-0.25685,0.3339875,-18.337502,-30.2625,-12.4875,sitting
421286251617138,-1.4130001,3.5839503,9.20505,-0.12925,-0.1640375,0.3449875,-18.91875,-30.075,-13.275001,sitting
421286271615608,-1.485,3.63,8.784,-0.258775,-0.110275,0.3804625,-18.825,-29.775002,-12.6,sitting
421286291621329,-1.38705,3.66105,9.117001,-0.3100625,-0.0650375,0.4037,-19.10625,-29.98125,-12.4875,sitting
421286311621928,-1.4250001,3.6660001,9.402,-0.2525875,-0.066275,0.42075,-19.5,-29.493752,-12.975,sitting
